Barrier ID,Site Name,Watershed Name,Structure Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
1017100076,,QUES,,Informal assessment,In-depth habitat investigation (data deficient structures only),Field notes indicate no visible culvert or channel. Historically was the route of Sardine Creek but it has migrated away due to rancher and water license. Stu thinks new location serviced by a bridge. Will confirm in the field and update status based on findings.,"Chinook historically found all the way to Sardine Lk according to Bo. Hab conf or confirmed barrier, non-actionable?",
1017100100,,QUES,Stream crossing - CBS,Informal assessment,Leave until end of lifecycle,Historically good habitat but lots of invasives and barriers downstream to deal with before addressing this site. Revisit once management plan for Dragon Lake developed.,"Water at outlet dirty, stagnant water. Pool is on private, fenced property that is a cow pasture. inlet did not have any visible water but lots of reeds/ tall grasses/cattails.Goldfish in lake and possibly bass",
1017100471,17100471,QUES,,Other,Barrier assessment (data deficient structures only),Downstream of PSCIS assessments with high quality habitat. Assess along with other modeled crossings and modeled 15% gradient barriers.,,
1017100802,17100802,QUES,,Other,Barrier assessment (data deficient structures only),Poential high quality habitat. Advance to barrier assessment,,
1017100829,17100829,QUES,,Other,Barrier assessment (data deficient structures only),Downstream of PSCIS crossings with high quality habitat. Assess along with other modeled crossings and modeled gradient barriers downstream.,,
1017102103,17102103,QUES,,Other,Barrier assessment (data deficient structures only),Modeled crossing downstream of PSCIS assessments with high quality habitat identified. Assess modeled 15% gradient barriers upstream at same time.,,
195686,,BOWR,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High quality habitat,Scores as potential barrier. May need to complete in-depth barrier assessment to verify passage status,
198862,,BOWR,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Scores as barrier, medium quality habitat",Two identical barriers spawning road,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200122
198864,17104197,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"One of main streams in town, flows into Quesnel Lake. ",Triple culverts perched very high off ground. May be passable in the spring if water level rises to culvert level. ,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200124
198865,17100118,QUES,Stream crossing - CBS,Barrier assessment,Barrier reassessment,"Some measurements estimated. Not much waters at time of assessment. Backwatered possible, not enough water to tell. Would be passable when water level is higher. Beavers may have dried out stream.",Reassess along with 1017100130 during higher flows. ,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200125
198867,17100130,QUES,Stream crossing - CBS,Barrier assessment,Barrier assessment (data deficient structures only),"Private crossing under driveway. Wetland-type habitat. No water in channel, most likely seasonal flow. ",Culvert in poor condition. Culvert on highway to south with control structure upstream helping to maintain the wetland. Debris present in culvert. ,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200127
198868,17104194,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Connected to 10 Mile Lake, stories of harvesting salmon there historically.",Triple culverts perched high above water level. If water level rises to culvert may be passable in spring.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200128
198869,17100097,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Swamp on either side of road, medium quality habitat. ","Inlet burried and unable to find, possibly that it is submerged farther out in swamp. Marked as inpassable because of this. Culvert length estimated as unable to locate inlet, measured to edge of swamp. ",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200129
203142,1502041,BOWR,Stream crossing - OBS,Barrier assessment,Habitat confirmation (data deficient structures only),Degraded bridge does not appear to currently be a barrier but has the potential to become one if left in place,Photos seem to show some falls forming from log sill on debris buildup of structure. Likely to become a barrier if not one already. 1502065 downstream does not appear to have been assessed,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204688
203143,2301166,CARR,Stream crossing - CBS,Barrier assessment,In-depth passage assessment (data deficient structures only),"PSCIS comment says not anticipated to be a barrier,  but photos indicate a likely (seasonal?) velocity barrier. ","Reassess passage in summer, complete habitat confirmation at same time.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204689
203145,17100008,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Assessed as low quality habitat though channel is wetted. Complete barrier assessments of downstream structures prior to habitat confirmation.,Culvert in need of replacement. 15 modeled crossings downstream.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204691
203149,17100106,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High quality habitat but 11 modeled structures downstream,Complete habitat confirmation after structures downstream have been assessed.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204695
203152,17100116,QUES,Stream crossing - CBS,Barrier assessment,Leave until end of lifecycle,"Medium quality habitat but small channel, no modeled habitat, many modeled crossings downstream that are unassessed","Upstream of crossing is a large wetland area, downstream is forested. Measurements estimated. Large log blocking inlet but still flowing.",
203153,17100132,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Complete barrier assessments for downstream structures prior to habitat confirmation,"Low quality habitat, 13 modeled crossings downstream. Modeled CO and SK rearing upstream",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204699
203158,17100479,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Verify habitat in field, including modeled 15% gradient barrier downstream. Assess 3 modeled strucures downstream.","No modeled habitat, short gain to second crossing with short gain upstream of 2nd crossing. Avg stream gradient 9.75% (though 6% measured in field)",
203159,17100794,QUES,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"No modeled habitat upstream or downstream but good looking stream. Mapped gradient 6.7%, field gradient 6%. Long distance upstream. ",,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204705
